2019-03-20 11:11:26 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2019-03-20 11:11:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 153 flow
2019-03-20 11:11:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 310 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 320 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 333 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 333 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 333 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 345 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 350 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 350 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 350 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 350 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 349 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 392 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 418 flow
2019-03-20 11:11:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 420 flow
