Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.43.139-111.221.29.254-47494-443-6,111.221.29.254,443,192.168.43.139,47494,6,07/06/2019 12:33:07 pm,1673,0,3,0.0,345.0,0,0,0,0,314.0,0.0,115.0,173.03467860518597,206216.37776449492,1793.1858936043036,836.5,1069.8525599352465,1593.0,80.0,0,0,0,0,0,1673.0,836.5,1069.8525599352465,1593.0,80.0,0,1,0,0,0,96,0.0,1793.1858936043036,0.0,314.0,164.75,172.80311532685593,29860.916666666668,1,0,0,1,1,0,0,0,0.0,219.66666666666666,0.0,115.0,0,0,0,0,0,0,0,0,3,345,-1,306,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-111.221.29.254-47496-443-6,192.168.43.139,47496,111.221.29.254,443,6,07/06/2019 12:33:08 pm,800064,6,6,1348.0,4003.0,977.0,0.0,224.66666666666669,384.08627503032005,2350.0,0.0,667.1666666666666,960.4137476456002,6688.214942804576,14.998800095992321,72733.09090909091,101001.58509395241,249226.0,16.0,413534.0,82706.8,114213.8583565935,251502.0,368.0,800064.0,160012.8,94260.6357670051,253833.0,5177.0,0,0,0,0,192,208,7.4994000479961604,7.4994000479961604,0.0,2350.0,411.61538461538464,714.1748780307638,510045.75641025644,0,1,0,0,0,0,0,0,1.0,445.9166666666667,224.66666666666666,667.1666666666666,0,0,0,0,0,0,6,1348,6,4003,-1,1022,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-111.221.29.254-47496-443-6,192.168.43.139,47496,111.221.29.254,443,6,07/06/2019 12:33:09 pm,229,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,135371.1790393013,8733.624454148472,229.0,0.0,229.0,229.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,4366.812227074236,4366.812227074236,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,306,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-216.58.196.74-33704-443-6,192.168.43.139,33704,216.58.196.74,443,6,07/06/2019 12:33:12 pm,387806,9,8,835.0,4017.0,517.0,0.0,92.77777777777777,172.1429477046459,3595.0,0.0,502.125,1253.4048983810915,12511.410344347432,43.83635116527336,24237.875000000004,27840.723424209606,73388.0,24.0,338408.0,42301.0,52463.289872878864,133851.0,55.0,330866.0,47266.57142857143,31425.1576599447,76999.0,1329.0,0,0,0,0,300,272,23.20748002867413,20.62887113659923,0.0,3595.0,269.5555555555556,840.8977850888419,707109.0849673202,0,1,0,0,0,0,0,0,0.0,285.4117647058824,92.77777777777777,502.125,0,0,0,0,0,0,9,835,8,4017,-1,240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-216.58.196.74-33704-443-6,216.58.196.74,443,192.168.43.139,33704,6,07/06/2019 12:33:13 pm,11753,3,2,38.0,0.0,38.0,0.0,12.666666666666668,21.939310229205777,0.0,0.0,0.0,0.0,3233.217050965711,425.4232961796988,2938.25,5841.837460651114,11701.0,9.0,52.0,26.0,0.0,26.0,26.0,11744.0,11744.0,0.0,11744.0,11744.0,0,0,0,0,96,64,255.2539777078193,170.16931847187954,0.0,38.0,6.333333333333333,15.513435037626795,240.66666666666669,0,0,0,0,1,0,0,0,0.0,7.6,12.666666666666666,0.0,0,0,0,0,0,0,3,38,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-34.214.74.24-42550-443-6,192.168.43.139,42550,34.214.74.24,443,6,07/06/2019 12:33:09 pm,6085511,7,5,364.0,3454.0,207.0,0.0,52.0,82.41965784932621,3403.0,0.0,690.8,1516.3267128162058,627.391849262946,1.9718968546766245,553228.2727272727,1506719.4443798815,5075806.0,22.0,5754630.0,959105.0000000001,2023412.8778965503,5075806.0,27.0,968547.0,242136.75,155797.02321369943,330838.0,8746.0,0,0,0,0,224,176,1.150273165228031,0.8216236894485935,0.0,3403.0,293.69230769230774,936.3661485244776,876781.564102564,0,1,0,0,0,0,0,0,0.0,318.1666666666667,52.0,690.8,0,0,0,0,0,0,7,364,5,3454,-1,106,3,0,1009678.0,0.0,1009678.0,1009678.0,5075806.0,0.0,5075806.0,5075806.0,No Label
192.168.43.139-34.214.74.24-42552-443-6,192.168.43.139,42552,34.214.74.24,443,6,07/06/2019 12:33:09 pm,6085482,8,6,364.0,3454.0,207.0,0.0,45.49999999999999,78.48930773405654,2115.0,0.0,575.6666666666667,910.6500242500774,627.394839061228,2.3005572935718157,468114.00000000006,1382923.687041576,5047905.0,10.0,5754036.0,822005.1428571427,1870358.796784138,5047905.0,10.0,994348.0,198869.6,178591.36679666236,344596.0,981.0,0,0,0,0,256,208,1.3146041677553233,0.9859531258164924,0.0,2115.0,254.5333333333333,610.7751359270175,373046.2666666667,0,1,0,0,0,0,0,0,0.0,272.7142857142857,45.5,575.6666666666666,0,0,0,0,0,0,8,364,6,3454,-1,106,3,0,1037567.0,0.0,1037567.0,1037567.0,5047905.0,0.0,5047905.0,5047905.0,No Label
192.168.43.139-34.214.74.24-42550-443-6,34.214.74.24,443,192.168.43.139,42550,6,07/06/2019 12:33:15 pm,92,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,336956.52173913043,32608.695652173912,46.0,12.727922061357855,55.0,37.0,0,0,0,0,0,55.0,55.0,0.0,55.0,55.0,0,1,0,0,32,52,10869.565217391304,21739.130434782608,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-34.214.74.24-42552-443-6,34.214.74.24,443,192.168.43.139,42552,6,07/06/2019 12:33:15 pm,99,3,2,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,313131.31313131313,50505.05050505051,24.75,13.073510112692254,43.0,12.0,78.0,39.0,5.656854249492381,43.0,35.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,96,64,30303.030303030304,20202.020202020205,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,10.333333333333334,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.43.139-34.209.86.85-45954-443-6,192.168.43.139,45954,34.209.86.85,443,6,07/06/2019 12:33:08 pm,8661995,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333334,17.8978583448784,3.5788522159156178,0.5772342283734868,2165498.75,4097109.387464401,8306023.0,32.0,360.0,360.0,0.0,360.0,360.0,8661603.0,4330801.5,5621812.158737118,8306023.0,355580.0,0,0,0,0,64,96,0.2308936913493947,0.34634053702409207,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,-1,118,0,0,355580.0,0.0,355580.0,355580.0,8306023.0,0.0,8306023.0,8306023.0,No Label
